case_id,codebook,cb_type,K,M,c,wav,SNR_CELP_dB,SegSNR_CELP_dB,MSE,PESQ,STOI
6,gauss64,gaussian,64,12,0.9,r.wav,9.30033648915654,3.56964179581043,0.000666877327510925,NaN,0.936094221045681
6,gauss64,gaussian,64,12,0.9,z.wav,9.77679965930941,5.05862058637482,0.000591424646048444,NaN,0.924190267608737
6,gauss64,gaussian,64,12,0.9,we were away a year ago_lrr.wav,9.6953733519971,9.78615443262695,0.0030393845097651,NaN,0.898161957430514
7,gauss64,gaussian,64,16,0.6,frase.wav,9.18831601730025,7.22952089110439,0.00264378073839211,NaN,0.853920033923373
7,gauss64,gaussian,64,16,0.6,e.wav,9.44167617248588,3.19055163106352,0.00132118357080119,NaN,NaN
7,gauss64,gaussian,64,16,0.6,r.wav,7.90924423062696,2.6608594759544,0.000918660785847416,NaN,NaN
7,gauss64,gaussian,64,16,0.6,z.wav,6.07123853976921,2.93503250783407,0.00138821115731863,NaN,0.885298181044926
7,gauss64,gaussian,64,16,0.6,we were away a year ago_lrr.wav,7.96407871948993,8.18919031282262,0.00452809061236635,NaN,0.890849184278505
8,gauss64,gaussian,64,16,0.75,frase.wav,9.77876254849373,8.29600355493616,0.00230770760374055,NaN,0.841795456614356
8,gauss64,gaussian,64,16,0.75,e.wav,11.097767775589,4.08332421107133,0.000902306330186266,NaN,NaN
8,gauss64,gaussian,64,16,0.75,r.wav,7.74909910036468,2.81447953819392,0.000953168521770153,NaN,0.925070674544354
8,gauss64,gaussian,64,16,0.75,z.wav,7.84774998977944,4.17186747784479,0.000922155977181327,NaN,0.921774478147446
8,gauss64,gaussian,64,16,0.75,we were away a year ago_lrr.wav,8.63854232503894,9.45746723463292,0.00387675850603737,NaN,0.90906026010799
9,gauss64,gaussian,64,16,0.9,frase.wav,10.1787789385281,8.72142750386618,0.00210464640584093,NaN,0.816463979102315
9,gauss64,gaussian,64,16,0.9,e.wav,13.918190897916,5.43850548241328,0.00047131546686677,NaN,NaN
9,gauss64,gaussian,64,16,0.9,r.wav,9.99070821405443,3.2702836759621,0.000568864431340098,NaN,0.935383541771498
9,gauss64,gaussian,64,16,0.9,z.wav,9.95189042282957,5.30070550866835,0.000568054941721174,NaN,0.874106064893035
9,gauss64,gaussian,64,16,0.9,we were away a year ago_lrr.wav,9.83784203675027,9.95341011247601,0.00294129630444542,NaN,0.903810800403092
10,gauss256,gaussian,256,10,0.6,frase.wav,9.52506455164113,7.75576917601216,0.00244653019803731,NaN,0.858265354848514
10,gauss256,gaussian,256,10,0.6,e.wav,11.10472096844,3.98669980356522,0.000900862864864876,NaN,NaN
10,gauss256,gaussian,256,10,0.6,r.wav,5.58527510573678,3.04226446693274,0.00156874404730721,NaN,0.919962487080146
10,gauss256,gaussian,256,10,0.6,z.wav,6.46155055179935,4.2199458129664,0.00126889103610902,NaN,0.922052500775432
10,gauss256,gaussian,256,10,0.6,we were away a year ago_lrr.wav,9.16040914907662,9.5037954825865,0.00343781154761568,NaN,0.9097795251112
11,gauss256,gaussian,256,10,0.75,frase.wav,9.76175860929491,8.89469802471869,0.00231676068643643,NaN,0.838500833731874
11,gauss256,gaussian,256,10,0.75,e.wav,11.8286755626058,4.83890453569514,0.000762541045436573,NaN,NaN
11,gauss256,gaussian,256,10,0.75,r.wav,8.48559893646966,3.71169831416442,0.000804488254502503,NaN,0.906209186391688
11,gauss256,gaussian,256,10,0.75,z.wav,9.02094730377146,5.20004329685381,0.000703857356670561,NaN,0.925994914490419
11,gauss256,gaussian,256,10,0.75,we were away a year ago_lrr.wav,9.50630039875146,10.2235653192245,0.00317462872147792,NaN,0.912228229378648
12,gauss256,gaussian,256,10,0.9,frase.wav,11.3254538973008,9.56938846910334,0.00161626156760677,NaN,0.837906520564684
12,gauss256,gaussian,256,10,0.9,e.wav,14.4155120433227,6.21484852337174,0.000420319537364546,NaN,NaN
12,gauss256,gaussian,256,10,0.9,r.wav,10.6463933459112,3.92011095281063,0.000489147982775785,NaN,0.933043142345954
12,gauss256,gaussian,256,10,0.9,z.wav,6.62515354807481,5.95134467117729,0.00122197980821338,NaN,0.887397613642135
12,gauss256,gaussian,256,10,0.9,we were away a year ago_lrr.wav,10.8387347735136,10.9371856959398,0.00233587448904458,NaN,0.91601843796922
13,gauss256,gaussian,256,12,0.6,frase.wav,10.0137563520173,8.19141630651832,0.00218615726609879,NaN,0.875575088556617
13,gauss256,gaussian,256,12,0.6,e.wav,8.83392320827531,4.06021635188752,0.00151963210740404,NaN,NaN
13,gauss256,gaussian,256,12,0.6,r.wav,7.57049195847579,3.07930133055469,0.000993185580376087,NaN,0.9167023014191
13,gauss256,gaussian,256,12,0.6,z.wav,9.92771717605934,4.17228935749368,0.000571225605851406,NaN,0.955744899224776
13,gauss256,gaussian,256,12,0.6,we were away a year ago_lrr.wav,9.41143452554427,9.62242945068586,0.00324473720387343,NaN,0.916587223451841
14,gauss256,gaussian,256,12,0.75,frase.wav,10.0991072440268,9.31147647804927,0.0021436126510763,NaN,0.860723212253841
14,gauss256,gaussian,256,12,0.75,e.wav,12.3567811512527,4.68956864212246,0.000675231457110552,NaN,NaN
14,gauss256,gaussian,256,12,0.75,r.wav,9.34003723469402,3.52108204218722,0.000660808891476244,NaN,0.919069249135262
14,gauss256,gaussian,256,12,0.75,z.wav,10.4797622023997,5.26812860055491,0.000503040746290457,NaN,0.945659119240734
14,gauss256,gaussian,256,12,0.75,we were away a year ago_lrr.wav,9.36549958625987,10.6375666222188,0.00327923863698889,NaN,0.909598217116752
15,gauss256,gaussian,256,12,0.9,frase.wav,11.5233441941753,9.83120733229036,0.00154426780188708,NaN,0.842154614686688
15,gauss256,gaussian,256,12,0.9,e.wav,15.481008875802,6.33301148185277,0.000328874267790821,NaN,NaN
15,gauss256,gaussian,256,12,0.9,r.wav,10.0640511653267,4.10340451252453,0.000559338205708091,NaN,0.920184581560629
15,gauss256,gaussian,256,12,0.9,z.wav,10.4444399137629,6.0372087748431,0.000507148789467412,NaN,0.920850680750896
15,gauss256,gaussian,256,12,0.9,we were away a year ago_lrr.wav,10.9161076528102,11.2727541052993,0.00229462761404273,NaN,0.925004860640006
16,gauss256,gaussian,256,16,0.6,frase.wav,10.7921369641892,8.2892316254811,0.00182744089504479,NaN,0.872267160624119
16,gauss256,gaussian,256,16,0.6,e.wav,11.4032082647353,4.22995578465922,0.000841027032616634,NaN,NaN
16,gauss256,gaussian,256,16,0.6,r.wav,7.09420752107881,2.92514442133413,0.00110830386903314,NaN,0.914011093631557
16,gauss256,gaussian,256,16,0.6,z.wav,7.0105297472678,3.90178525635281,0.00111821782234893,NaN,0.891859094961817
16,gauss256,gaussian,256,16,0.6,we were away a year ago_lrr.wav,9.32575540822617,9.49614795834616,0.0033093861127737,NaN,0.915643982889562
17,gauss256,gaussian,256,16,0.75,frase.wav,10.4069739198852,9.100118957866,0.00199691529730601,NaN,0.863469596532894
17,gauss256,gaussian,256,16,0.75,e.wav,13.4217300916779,5.04505885806527,0.000528393872375453,NaN,NaN
17,gauss256,gaussian,256,16,0.75,r.wav,8.39256865298939,3.73768525008259,0.000821907107671515,NaN,0.930973964649689
17,gauss256,gaussian,256,16,0.75,z.wav,8.50703681152777,4.91968249077161,0.000792274546304557,NaN,0.902606706390575
17,gauss256,gaussian,256,16,0.75,we were away a year ago_lrr.wav,9.81674625309683,10.5409963806714,0.00295561835970502,NaN,0.923922282298828
18,gauss256,gaussian,256,16,0.9,frase.wav,11.4021026816694,9.58691755315581,0.00158798635991723,NaN,0.844603609018889
18,gauss256,gaussian,256,16,0.9,e.wav,15.3456513656453,6.42985898821227,0.000339285769945544,NaN,NaN
18,gauss256,gaussian,256,16,0.9,r.wav,9.95453323270656,4.24151416333512,0.000573622632397685,NaN,0.891094852037898
18,gauss256,gaussian,256,16,0.9,z.wav,10.374516053714,6.03365418566346,0.000515380258727472,NaN,0.885402004833938
18,gauss256,gaussian,256,16,0.9,we were away a year ago_lrr.wav,10.864552459051,11.2358689143794,0.00232202951154564,NaN,0.909741868398341
19,gauss1024,gaussian,1024,10,0.6,frase.wav,11.3646573401958,9.29842970634532,0.00160173734668342,NaN,0.879988525501908
19,gauss1024,gaussian,1024,10,0.6,e.wav,12.263283057509,5.3956613678428,0.000689925943249154,NaN,NaN
19,gauss1024,gaussian,1024,10,0.6,r.wav,8.78271021678086,4.04608520027287,0.000751291680677244,NaN,0.945626479005
19,gauss1024,gaussian,1024,10,0.6,z.wav,9.12808484857673,5.02469130664883,0.000686706091247602,NaN,0.92461736039886
19,gauss1024,gaussian,1024,10,0.6,we were away a year ago_lrr.wav,9.70010157363613,10.2609285567335,0.00303607729216063,NaN,0.92191506441232
20,gauss1024,gaussian,1024,10,0.75,frase.wav,12.3163455018046,10.3183285038198,0.00128653760709775,NaN,0.865142915450781
20,gauss1024,gaussian,1024,10,0.75,e.wav,13.1035112334321,6.14314915629762,0.000568564393523829,NaN,NaN
20,gauss1024,gaussian,1024,10,0.75,r.wav,7.85547289150174,4.65005626687973,0.000930105713728068,NaN,0.937363072565646
