case_id,codebook,cb_type,K,M,c,k_norm,theta0_mean,theta0_abs_mean,theta0_rms,P_mean,F0_mean_Hz,b_mean,b_voiced_mean,b_unvoiced_mean,P_voiced_mean,IS_mean,LSD_mean,SNR_LPC_dB,SNR_CELP_dB,b_voiced_ci_lo,b_voiced_ci_hi,proc_time_s
14,gauss256,gaussian,256,12,0.75,0.485586562947084,0.00127418137428735,0.0307137938290025,0.0566730058643612,84.3287039730644,94.8668676629407,0.805858729801378,0.89922727368204,0.778609188354712,74.1803234501348,13.3368860843759,63.3403846901114,14.1857263737903,6.75261600527781,0.819279612018155,0.978646303173922,1.6234024
15,gauss256,gaussian,256,12,0.9,0.499357102123188,0.00334726607706944,0.0329667900993861,0.0635429941550844,85.5142878685944,93.551618090923,0.819738324985087,0.898573654790306,0.796051084469841,74.8405017152659,13.3368860843759,63.3403846901114,14.1857263737903,7.47994392543549,0.818612079207534,0.977534450679099,1.7723414
16,gauss256,gaussian,256,16,0.6,0.491192887621134,0.00102343477206384,0.0302543858115244,0.0568090800496969,85.4702577124252,93.599811374349,0.799749010234789,0.864159966063606,0.773872369815608,75.6250735113943,13.3271517148977,63.2935636587889,14.3202941366289,5.98089103357821,0.782893980386663,0.945606487679806,1.6655467
17,gauss256,gaussian,256,16,0.75,0.490982073081387,0.0029240609506817,0.0306061231717292,0.0570291800746008,86.7638978141294,92.2042485589809,0.807290732388765,0.874322395872171,0.779695168405114,79.1326084293065,13.3271517148977,63.2935636587889,14.3202941366289,6.85446107812372,0.794738546503972,0.956046099575011,1.7227118
18,gauss256,gaussian,256,16,0.9,0.487181561679643,0.00036939030269618,0.0330952938876943,0.0647016814946416,86.6127502372335,92.3651538380653,0.81803706143925,0.894576131412118,0.792255516262844,78.0838734378829,13.3271517148977,63.2935636587889,14.3202941366289,7.55307331638667,0.813785580238995,0.977979850565159,1.6263789
19,gauss1024,gaussian,1024,10,0.6,0.498824142519835,0.00189239399043411,0.0323524136978459,0.0606293306690245,86.181388433802,92.8274671061373,0.785388191297765,0.869278483719371,0.759863527366215,75.3572408723352,13.3388652581221,63.3449319006382,14.079697165905,6.75463549868051,0.787031091432542,0.951769196042063,1.8430335
20,gauss1024,gaussian,1024,10,0.75,0.495059297362761,7.96530915711439e-05,0.0325538953085112,0.0595199336089063,85.8664791224125,93.1679053544874,0.801076186869589,0.882436319340892,0.773588217536672,75.381910071061,13.3388652581221,63.3449319006382,14.079697165905,7.64976245030391,0.802955297084512,0.962197500953681,1.8107203
21,gauss1024,gaussian,1024,10,0.9,0.498489013969451,0.00114155030321764,0.0350854147097942,0.0658125404729069,85.971241598196,93.054373198303,0.81722209708269,0.890862759149998,0.793047795577212,74.3582669688802,13.3388652581221,63.3449319006382,14.079697165905,8.49550220421014,0.815689208737424,0.96639154150982,1.8051517
22,gauss1024,gaussian,1024,12,0.6,0.498813027699179,0.00132720182219082,0.0315113185899175,0.0592555572336734,86.6551236625117,92.3199882693251,0.784773733288823,0.862214602434197,0.760417855043026,78.2766386914972,13.3368860843759,63.3403846901114,14.1857263737903,6.82395258962386,0.782117274435417,0.943697456570971,1.8496715
23,gauss1024,gaussian,1024,12,0.75,0.50569141888,-0.00173624526602647,0.0322163754218951,0.0593556583365781,85.2767916217636,93.8121597665538,0.800943300521321,0.887374408481428,0.774911344193231,74.5755697133056,13.3368860843759,63.3403846901114,14.1857263737903,7.62406337263372,0.806900076814564,0.965850545080195,1.8295693
